지역,자치구,장소이름,주소,운영기간,일일 운영시간,쉬는시간/휴장일,무료/유료,출처 링크
경기도,김포시,고촌제1근린공원,경기 김포시 고촌읍 신곡리 1281,6.27~9.6,14:00~19:00,"40분 가동/20분 휴식(5회), 시기별 요일 상이",무료,https://www.gimpo.go.kr/clean/contents.do?key=5912
경기도,김포시,고촌문화공원,경기 김포시 고촌읍 신곡리 532-10,6.27~9.6,14:00~19:00,"40분 가동/20분 휴식(5회), 시기별 요일 상이",무료,https://www.gimpo.go.kr/clean/contents.do?key=5912
경기도,김포시,인향근린공원,경기 김포시 고촌읍 신곡리 890,6.27~9.6,14:00~19:00,"40분 가동/20분 휴식(5회), 시기별 요일 상이",무료,https://www.gimpo.go.kr/clean/contents.do?key=5912
경기도,김포시,사우마을숲공원,경기 김포시 사우동 98,6.27~9.6,14:00~19:00,"40분 가동/20분 휴식(5회), 시기별 요일 상이",무료,https://www.gimpo.go.kr/clean/contents.do?key=5912
경기도,김포시,사우제5어린이공원,경기 김포시 사우동 1043,6.27~9.6,14:00~19:00,"40분 가동/20분 휴식(5회), 시기별 요일 상이",무료,https://www.gimpo.go.kr/clean/contents.do?key=5912
경기도,김포시,봉화어린이공원,경기 김포시 북변동 720,6.27~9.6,14:00~19:00,"40분 가동/20분 휴식(5회), 시기별 요일 상이",무료,https://www.gimpo.go.kr/clean/contents.do?key=5912
경기도,김포시,풍년근린공원,경기 김포시 북변동 831,6.27~9.6,14:00~19:00,"40분 가동/20분 휴식(5회), 시기별 요일 상이",무료,https://www.gimpo.go.kr/clean/contents.do?key=5912
경기도,김포시,풍무제1어린이공원,경기 김포시 풍무동 765,6.27~9.6,14:00~19:00,"40분 가동/20분 휴식(5회), 시기별 요일 상이",무료,https://www.gimpo.go.kr/clean/contents.do?key=5912
경기도,김포시,풍무2지구 27호 어린이공원,경기 김포시 풍무동 291,6.27~9.6,14:00~19:00,"40분 가동/20분 휴식(5회), 시기별 요일 상이",무료,https://www.gimpo.go.kr/clean/contents.do?key=5912
경기도,김포시,풍무2지구 44호 어린이공원,경기 김포시 풍무동 211,6.27~9.6,14:00~19:00,"40분 가동/20분 휴식(5회), 시기별 요일 상이",무료,https://www.gimpo.go.kr/clean/contents.do?key=5912
경기도,김포시,걸포중앙공원,경기 김포시 걸포동 1553,6.27~9.6,14:00~19:00,"40분 가동/20분 휴식(5회), 시기별 요일 상이",무료,https://www.gimpo.go.kr/clean/contents.do?key=5912
경기도,김포시,신화어린이공원,경기 김포시 감정동 675,6.27~9.6,14:00~19:00,"40분 가동/20분 휴식(5회), 시기별 요일 상이",무료,https://www.gimpo.go.kr/clean/contents.do?key=5912
경기도,김포시,솔내공원,경기 김포시 장기동 1641,6.27~9.6,14:00~19:00,"40분 가동/20분 휴식(5회), 시기별 요일 상이",무료,https://www.gimpo.go.kr/clean/contents.do?key=5912
경기도,김포시,나래울공원,경기 김포시 운양동 1287-1,6.27~9.6,14:00~19:00,"40분 가동/20분 휴식(5회), 시기별 요일 상이",무료,https://www.gimpo.go.kr/clean/contents.do?key=5912
경기도,김포시,모담공원,경기 김포시 운양동 1325-1,6.27~9.6,14:00~19:00,"40분 가동/20분 휴식(5회), 시기별 요일 상이",무료,https://www.gimpo.go.kr/clean/contents.do?key=5912
